글자,자모1,자모2,자모3,자모4,자모5
배꼽,ᄇ,ᅢ,ᄁ,ᅩ,ᆸ
배달,ᄇ,ᅢ,ᄃ,ᅡ,ᆯ
버릇,ᄇ,ᅥ,ᄅ,ᅳ,ᆺ
버섯,ᄇ,ᅥ,ᄉ,ᅥ,ᆺ
버튼,ᄇ,ᅥ,ᄐ,ᅳ,ᆫ
번개,ᄇ,ᅥ,ᆫ,ᄀ,ᅢ
번지,ᄇ,ᅥ,ᆫ,ᄌ,ᅵ
번호,ᄇ,ᅥ,ᆫ,ᄒ,ᅩ
벌레,ᄇ,ᅥ,ᆯ,ᄅ,ᅦ
범위,ᄇ,ᅥ,ᆷ,ᄋ,ᅱ
범죄,ᄇ,ᅥ,ᆷ,ᄌ,ᅬ
벤치,ᄇ,ᅦ,ᆫ,ᄎ,ᅵ
벨트,ᄇ,ᅦ,ᆯ,ᄐ,ᅳ
변화,ᄇ,ᅧ,ᆫ,ᄒ,ᅪ
별도,ᄇ,ᅧ,ᆯ,ᄃ,ᅩ
보관,ᄇ,ᅩ,ᄀ,ᅪ,ᆫ
보람,ᄇ,ᅩ,ᄅ,ᅡ,ᆷ
보름,ᄇ,ᅩ,ᄅ,ᅳ,ᆷ
보상,ᄇ,ᅩ,ᄉ,ᅡ,ᆼ
보안,ᄇ,ᅩ,ᄋ,ᅡ,ᆫ
보장,ᄇ,ᅩ,ᄌ,ᅡ,ᆼ
보전,ᄇ,ᅩ,ᄌ,ᅥ,ᆫ
보존,ᄇ,ᅩ,ᄌ,ᅩ,ᆫ
보통,ᄇ,ᅩ,ᄐ,ᅩ,ᆼ
보험,ᄇ,ᅩ,ᄒ,ᅥ,ᆷ
복도,ᄇ,ᅩ,ᆨ,ᄃ,ᅩ
복사,ᄇ,ᅩ,ᆨ,ᄉ,ᅡ
본래,ᄇ,ᅩ,ᆫ,ᄅ,ᅢ
본부,ᄇ,ᅩ,ᆫ,ᄇ,ᅮ
본사,ᄇ,ᅩ,ᆫ,ᄉ,ᅡ
봉사,ᄇ,ᅩ,ᆼ,ᄉ,ᅡ
봉지,ᄇ,ᅩ,ᆼ,ᄌ,ᅵ
봉투,ᄇ,ᅩ,ᆼ,ᄐ,ᅮ
부근,ᄇ,ᅮ,ᄀ,ᅳ,ᆫ
부담,ᄇ,ᅮ,ᄃ,ᅡ,ᆷ
부문,ᄇ,ᅮ,ᄆ,ᅮ,ᆫ
부분,ᄇ,ᅮ,ᄇ,ᅮ,ᆫ
부상,ᄇ,ᅮ,ᄉ,ᅡ,ᆼ
부엌,ᄇ,ᅮ,ᄋ,ᅥ,ᆿ
부인,ᄇ,ᅮ,ᄋ,ᅵ,ᆫ
부인,ᄇ,ᅮ,ᄋ,ᅵ,ᆫ
부장,ᄇ,ᅮ,ᄌ,ᅡ,ᆼ
부정,ᄇ,ᅮ,ᄌ,ᅥ,ᆼ
부족,ᄇ,ᅮ,ᄌ,ᅩ,ᆨ
부족,ᄇ,ᅮ,ᄌ,ᅩ,ᆨ
부친,ᄇ,ᅮ,ᄎ,ᅵ,ᆫ
부탁,ᄇ,ᅮ,ᄐ,ᅡ,ᆨ
부품,ᄇ,ᅮ,ᄑ,ᅮ,ᆷ
북부,ᄇ,ᅮ,ᆨ,ᄇ,ᅮ
분노,ᄇ,ᅮ,ᆫ,ᄂ,ᅩ
분리,ᄇ,ᅮ,ᆫ,ᄅ,ᅵ
분야,ᄇ,ᅮ,ᆫ,ᄋ,ᅣ
불교,ᄇ,ᅮ,ᆯ,ᄀ,ᅭ
비극,ᄇ,ᅵ,ᄀ,ᅳ,ᆨ
비난,ᄇ,ᅵ,ᄂ,ᅡ,ᆫ
비닐,ᄇ,ᅵ,ᄂ,ᅵ,ᆯ
비만,ᄇ,ᅵ,ᄆ,ᅡ,ᆫ
비명,ᄇ,ᅵ,ᄆ,ᅧ,ᆼ
비밀,ᄇ,ᅵ,ᄆ,ᅵ,ᆯ
비상,ᄇ,ᅵ,ᄉ,ᅡ,ᆼ
비용,ᄇ,ᅵ,ᄋ,ᅭ,ᆼ
비율,ᄇ,ᅵ,ᄋ,ᅲ,ᆯ
비중,ᄇ,ᅵ,ᄌ,ᅮ,ᆼ
비판,ᄇ,ᅵ,ᄑ,ᅡ,ᆫ
비행,ᄇ,ᅵ,ᄒ,ᅢ,ᆼ
비행,ᄇ,ᅵ,ᄒ,ᅢ,ᆼ
빨래,ᄈ,ᅡ,ᆯ,ᄅ,ᅢ
사건,ᄉ,ᅡ,ᄀ,ᅥ,ᆫ
사냥,ᄉ,ᅡ,ᄂ,ᅣ,ᆼ
사람,ᄉ,ᅡ,ᄅ,ᅡ,ᆷ
사랑,ᄉ,ᅡ,ᄅ,ᅡ,ᆼ
사립,ᄉ,ᅡ,ᄅ,ᅵ,ᆸ
사망,ᄉ,ᅡ,ᄆ,ᅡ,ᆼ
사물,ᄉ,ᅡ,ᄆ,ᅮ,ᆯ
사방,ᄉ,ᅡ,ᄇ,ᅡ,ᆼ
사상,ᄉ,ᅡ,ᄉ,ᅡ,ᆼ
사설,ᄉ,ᅡ,ᄉ,ᅥ,ᆯ
사슴,ᄉ,ᅡ,ᄉ,ᅳ,ᆷ
사실,ᄉ,ᅡ,ᄉ,ᅵ,ᆯ
사업,ᄉ,ᅡ,ᄋ,ᅥ,ᆸ
사용,ᄉ,ᅡ,ᄋ,ᅭ,ᆼ
사원,ᄉ,ᅡ,ᄋ,ᅯ,ᆫ
사월,ᄉ,ᅡ,ᄋ,ᅯ,ᆯ
사장,ᄉ,ᅡ,ᄌ,ᅡ,ᆼ
사전,ᄉ,ᅡ,ᄌ,ᅥ,ᆫ
사전,ᄉ,ᅡ,ᄌ,ᅥ,ᆫ
사정,ᄉ,ᅡ,ᄌ,ᅥ,ᆼ
사진,ᄉ,ᅡ,ᄌ,ᅵ,ᆫ
사촌,ᄉ,ᅡ,ᄎ,ᅩ,ᆫ
사탕,ᄉ,ᅡ,ᄐ,ᅡ,ᆼ
사흘,ᄉ,ᅡ,ᄒ,ᅳ,ᆯ
산소,ᄉ,ᅡ,ᆫ,ᄉ,ᅩ
상대,ᄉ,ᅡ,ᆼ,ᄃ,ᅢ
상류,ᄉ,ᅡ,ᆼ,ᄅ,ᅲ
상자,ᄉ,ᅡ,ᆼ,ᄌ,ᅡ
상처,ᄉ,ᅡ,ᆼ,ᄎ,ᅥ
상추,ᄉ,ᅡ,ᆼ,ᄎ,ᅮ
상태,ᄉ,ᅡ,ᆼ,ᄐ,ᅢ
상표,ᄉ,ᅡ,ᆼ,ᄑ,ᅭ
새벽,ᄉ,ᅢ,ᄇ,ᅧ,ᆨ
생기,ᄉ,ᅢ,ᆼ,ᄀ,ᅵ
서랍,ᄉ,ᅥ,ᄅ,ᅡ,ᆸ
서명,ᄉ,ᅥ,ᄆ,ᅧ,ᆼ
서민,ᄉ,ᅥ,ᄆ,ᅵ,ᆫ
서양,ᄉ,ᅥ,ᄋ,ᅣ,ᆼ
서적,ᄉ,ᅥ,ᄌ,ᅥ,ᆨ
서점,ᄉ,ᅥ,ᄌ,ᅥ,ᆷ
서쪽,ᄉ,ᅥ,ᄍ,ᅩ,ᆨ
서클,ᄉ,ᅥ,ᄏ,ᅳ,ᆯ
석사,ᄉ,ᅥ,ᆨ,ᄉ,ᅡ
석유,ᄉ,ᅥ,ᆨ,ᄋ,ᅲ
선거,ᄉ,ᅥ,ᆫ,ᄀ,ᅥ
선배,ᄉ,ᅥ,ᆫ,ᄇ,ᅢ
선수,ᄉ,ᅥ,ᆫ,ᄉ,ᅮ
설치,ᄉ,ᅥ,ᆯ,ᄎ,ᅵ
섭씨,ᄉ,ᅥ,ᆸ,ᄊ,ᅵ
세금,ᄉ,ᅦ,ᄀ,ᅳ,ᆷ
세상,ᄉ,ᅦ,ᄉ,ᅡ,ᆼ
세월,ᄉ,ᅦ,ᄋ,ᅯ,ᆯ
세탁,ᄉ,ᅦ,ᄐ,ᅡ,ᆨ
센터,ᄉ,ᅦ,ᆫ,ᄐ,ᅥ
소금,ᄉ,ᅩ,ᄀ,ᅳ,ᆷ
소년,ᄉ,ᅩ,ᄂ,ᅧ,ᆫ
소득,ᄉ,ᅩ,ᄃ,ᅳ,ᆨ
소망,ᄉ,ᅩ,ᄆ,ᅡ,ᆼ
소문,ᄉ,ᅩ,ᄆ,ᅮ,ᆫ
소설,ᄉ,ᅩ,ᄉ,ᅥ,ᆯ
소속,ᄉ,ᅩ,ᄉ,ᅩ,ᆨ
소식,ᄉ,ᅩ,ᄉ,ᅵ,ᆨ
소용,ᄉ,ᅩ,ᄋ,ᅭ,ᆼ
소원,ᄉ,ᅩ,ᄋ,ᅯ,ᆫ
소음,ᄉ,ᅩ,ᄋ,ᅳ,ᆷ
소질,ᄉ,ᅩ,ᄌ,ᅵ,ᆯ
소풍,ᄉ,ᅩ,ᄑ,ᅮ,ᆼ
소형,ᄉ,ᅩ,ᄒ,ᅧ,ᆼ
속도,ᄉ,ᅩ,ᆨ,ᄃ,ᅩ
손녀,ᄉ,ᅩ,ᆫ,ᄂ,ᅧ
손자,ᄉ,ᅩ,ᆫ,ᄌ,ᅡ
손해,ᄉ,ᅩ,ᆫ,ᄒ,ᅢ
솜씨,ᄉ,ᅩ,ᆷ,ᄊ,ᅵ
송이,ᄉ,ᅩ,ᆼ,ᄋ,ᅵ
쇼핑,ᄉ,ᅭ,ᄑ,ᅵ,ᆼ
수건,ᄉ,ᅮ,ᄀ,ᅥ,ᆫ
수년,ᄉ,ᅮ,ᄂ,ᅧ,ᆫ
수단,ᄉ,ᅮ,ᄃ,ᅡ,ᆫ
수면,ᄉ,ᅮ,ᄆ,ᅧ,ᆫ
수명,ᄉ,ᅮ,ᄆ,ᅧ,ᆼ
수박,ᄉ,ᅮ,ᄇ,ᅡ,ᆨ
수상,ᄉ,ᅮ,ᄉ,ᅡ,ᆼ
수석,ᄉ,ᅮ,ᄉ,ᅥ,ᆨ
수술,ᄉ,ᅮ,ᄉ,ᅮ,ᆯ
수업,ᄉ,ᅮ,ᄋ,ᅥ,ᆸ
수업,ᄉ,ᅮ,ᄋ,ᅥ,ᆸ
수염,ᄉ,ᅮ,ᄋ,ᅧ,ᆷ
수영,ᄉ,ᅮ,ᄋ,ᅧ,ᆼ
수입,ᄉ,ᅮ,ᄋ,ᅵ,ᆸ
수입,ᄉ,ᅮ,ᄋ,ᅵ,ᆸ
수준,ᄉ,ᅮ,ᄌ,ᅮ,ᆫ
수집,ᄉ,ᅮ,ᄌ,ᅵ,ᆸ
수출,ᄉ,ᅮ,ᄎ,ᅮ,ᆯ
수컷,ᄉ,ᅮ,ᄏ,ᅥ,ᆺ
수필,ᄉ,ᅮ,ᄑ,ᅵ,ᆯ
수학,ᄉ,ᅮ,ᄒ,ᅡ,ᆨ
수학,ᄉ,ᅮ,ᄒ,ᅡ,ᆨ
숙녀,ᄉ,ᅮ,ᆨ,ᄂ,ᅧ
숙소,ᄉ,ᅮ,ᆨ,ᄉ,ᅩ
숙제,ᄉ,ᅮ,ᆨ,ᄌ,ᅦ
순서,ᄉ,ᅮ,ᆫ,ᄉ,ᅥ
순수,ᄉ,ᅮ,ᆫ,ᄉ,ᅮ
순위,ᄉ,ᅮ,ᆫ,ᄋ,ᅱ
숫자,ᄉ,ᅮ,ᆺ,ᄌ,ᅡ
스님,ᄉ,ᅳ,ᄂ,ᅵ,ᆷ
스승,ᄉ,ᅳ,ᄉ,ᅳ,ᆼ
습기,ᄉ,ᅳ,ᆸ,ᄀ,ᅵ
승리,ᄉ,ᅳ,ᆼ,ᄅ,ᅵ
승부,ᄉ,ᅳ,ᆼ,ᄇ,ᅮ
시각,ᄉ,ᅵ,ᄀ,ᅡ,ᆨ
시각,ᄉ,ᅵ,ᄀ,ᅡ,ᆨ
시간,ᄉ,ᅵ,ᄀ,ᅡ,ᆫ
시골,ᄉ,ᅵ,ᄀ,ᅩ,ᆯ
시댁,ᄉ,ᅵ,ᄃ,ᅢ,ᆨ
시민,ᄉ,ᅵ,ᄆ,ᅵ,ᆫ
시선,ᄉ,ᅵ,ᄉ,ᅥ,ᆫ
시설,ᄉ,ᅵ,ᄉ,ᅥ,ᆯ
시월,ᄉ,ᅵ,ᄋ,ᅯ,ᆯ
시인,ᄉ,ᅵ,ᄋ,ᅵ,ᆫ
시일,ᄉ,ᅵ,ᄋ,ᅵ,ᆯ
시작,ᄉ,ᅵ,ᄌ,ᅡ,ᆨ
시장,ᄉ,ᅵ,ᄌ,ᅡ,ᆼ
시장,ᄉ,ᅵ,ᄌ,ᅡ,ᆼ
시절,ᄉ,ᅵ,ᄌ,ᅥ,ᆯ
시점,ᄉ,ᅵ,ᄌ,ᅥ,ᆷ
시중,ᄉ,ᅵ,ᄌ,ᅮ,ᆼ
시즌,ᄉ,ᅵ,ᄌ,ᅳ,ᆫ
시집,ᄉ,ᅵ,ᄌ,ᅵ,ᆸ
시집,ᄉ,ᅵ,ᄌ,ᅵ,ᆸ
시청,ᄉ,ᅵ,ᄎ,ᅥ,ᆼ
시합,ᄉ,ᅵ,ᄒ,ᅡ,ᆸ
시험,ᄉ,ᅵ,ᄒ,ᅥ,ᆷ
식구,ᄉ,ᅵ,ᆨ,ᄀ,ᅮ
식기,ᄉ,ᅵ,ᆨ,ᄀ,ᅵ
식사,ᄉ,ᅵ,ᆨ,ᄉ,ᅡ
식초,ᄉ,ᅵ,ᆨ,ᄎ,ᅩ
신고,ᄉ,ᅵ,ᆫ,ᄀ,ᅩ
신규,ᄉ,ᅵ,ᆫ,ᄀ,ᅲ
신부,ᄉ,ᅵ,ᆫ,ᄇ,ᅮ
신부,ᄉ,ᅵ,ᆫ,ᄇ,ᅮ
신비,ᄉ,ᅵ,ᆫ,ᄇ,ᅵ
신사,ᄉ,ᅵ,ᆫ,ᄉ,ᅡ
신세,ᄉ,ᅵ,ᆫ,ᄉ,ᅦ
신체,ᄉ,ᅵ,ᆫ,ᄎ,ᅦ
신호,ᄉ,ᅵ,ᆫ,ᄒ,ᅩ
신화,ᄉ,ᅵ,ᆫ,ᄒ,ᅪ
실내,ᄉ,ᅵ,ᆯ,ᄂ,ᅢ
실례,ᄉ,ᅵ,ᆯ,ᄅ,ᅨ
실수,ᄉ,ᅵ,ᆯ,ᄉ,ᅮ
실시,ᄉ,ᅵ,ᆯ,ᄉ,ᅵ
실제,ᄉ,ᅵ,ᆯ,ᄌ,ᅦ
실체,ᄉ,ᅵ,ᆯ,ᄎ,ᅦ
실태,ᄉ,ᅵ,ᆯ,ᄐ,ᅢ
실패,ᄉ,ᅵ,ᆯ,ᄑ,ᅢ
심리,ᄉ,ᅵ,ᆷ,ᄅ,ᅵ
심사,ᄉ,ᅵ,ᆷ,ᄉ,ᅡ
싸움,ᄊ,ᅡ,ᄋ,ᅮ,ᆷ
씨름,ᄊ,ᅵ,ᄅ,ᅳ,ᆷ
씨앗,ᄊ,ᅵ,ᄋ,ᅡ,ᆺ
아들,ᄋ,ᅡ,ᄃ,ᅳ,ᆯ
아침,ᄋ,ᅡ,ᄎ,ᅵ,ᆷ
아픔,ᄋ,ᅡ,ᄑ,ᅳ,ᆷ
악기,ᄋ,ᅡ,ᆨ,ᄀ,ᅵ
악수,ᄋ,ᅡ,ᆨ,ᄉ,ᅮ
안개,ᄋ,ᅡ,ᆫ,ᄀ,ᅢ
안과,ᄋ,ᅡ,ᆫ,ᄀ,ᅪ
안내,ᄋ,ᅡ,ᆫ,ᄂ,ᅢ
안부,ᄋ,ᅡ,ᆫ,ᄇ,ᅮ
안주,ᄋ,ᅡ,ᆫ,ᄌ,ᅮ
암시,ᄋ,ᅡ,ᆷ,ᄉ,ᅵ
앞뒤,ᄋ,ᅡ,ᇁ,ᄃ,ᅱ
애인,ᄋ,ᅢ,ᄋ,ᅵ,ᆫ
애정,ᄋ,ᅢ,ᄌ,ᅥ,ᆼ
액수,ᄋ,ᅢ,ᆨ,ᄉ,ᅮ
야간,ᄋ,ᅣ,ᄀ,ᅡ,ᆫ
야단,ᄋ,ᅣ,ᄃ,ᅡ,ᆫ
약수,ᄋ,ᅣ,ᆨ,ᄉ,ᅮ
양보,ᄋ,ᅣ,ᆼ,ᄇ,ᅩ
양주,ᄋ,ᅣ,ᆼ,ᄌ,ᅮ
양파,ᄋ,ᅣ,ᆼ,ᄑ,ᅡ
어둠,ᄋ,ᅥ,ᄃ,ᅮ,ᆷ
어른,ᄋ,ᅥ,ᄅ,ᅳ,ᆫ
언니,ᄋ,ᅥ,ᆫ,ᄂ,ᅵ
언어,ᄋ,ᅥ,ᆫ,ᄋ,ᅥ
얼마,ᄋ,ᅥ,ᆯ,ᄆ,ᅡ
엄마,ᄋ,ᅥ,ᆷ,ᄆ,ᅡ
업무,ᄋ,ᅥ,ᆸ,ᄆ,ᅮ
업체,ᄋ,ᅥ,ᆸ,ᄎ,ᅦ
여건,ᄋ,ᅧ,ᄀ,ᅥ,ᆫ
여관,ᄋ,ᅧ,ᄀ,ᅪ,ᆫ
여군,ᄋ,ᅧ,ᄀ,ᅮ,ᆫ
여권,ᄋ,ᅧ,ᄀ,ᅯ,ᆫ
여럿,ᄋ,ᅧ,ᄅ,ᅥ,ᆺ
여론,ᄋ,ᅧ,ᄅ,ᅩ,ᆫ
여름,ᄋ,ᅧ,ᄅ,ᅳ,ᆷ
여성,ᄋ,ᅧ,ᄉ,ᅥ,ᆼ
여왕,ᄋ,ᅧ,ᄋ,ᅪ,ᆼ
여인,ᄋ,ᅧ,ᄋ,ᅵ,ᆫ
여행,ᄋ,ᅧ,ᄒ,ᅢ,ᆼ
역사,ᄋ,ᅧ,ᆨ,ᄉ,ᅡ
연구,ᄋ,ᅧ,ᆫ,ᄀ,ᅮ
연기,ᄋ,ᅧ,ᆫ,ᄀ,ᅵ
연기,ᄋ,ᅧ,ᆫ,ᄀ,ᅵ
연기,ᄋ,ᅧ,ᆫ,ᄀ,ᅵ
연세,ᄋ,ᅧ,ᆫ,ᄉ,ᅦ
연애,ᄋ,ᅧ,ᆫ,ᄋ,ᅢ
연주,ᄋ,ᅧ,ᆫ,ᄌ,ᅮ
연휴,ᄋ,ᅧ,ᆫ,ᄒ,ᅲ
열기,ᄋ,ᅧ,ᆯ,ᄀ,ᅵ
열매,ᄋ,ᅧ,ᆯ,ᄆ,ᅢ
열쇠,ᄋ,ᅧ,ᆯ,ᄉ,ᅬ
열차,ᄋ,ᅧ,ᆯ,ᄎ,ᅡ
염려,ᄋ,ᅧ,ᆷ,ᄅ,ᅧ
엽서,ᄋ,ᅧ,ᆸ,ᄉ,ᅥ
영어,ᄋ,ᅧ,ᆼ,ᄋ,ᅥ
영하,ᄋ,ᅧ,ᆼ,ᄒ,ᅡ
영화,ᄋ,ᅧ,ᆼ,ᄒ,ᅪ
예감,ᄋ,ᅨ,ᄀ,ᅡ,ᆷ
예금,ᄋ,ᅨ,ᄀ,ᅳ,ᆷ
예방,ᄋ,ᅨ,ᄇ,ᅡ,ᆼ
예산,ᄋ,ᅨ,ᄉ,ᅡ,ᆫ
예상,ᄋ,ᅨ,ᄉ,ᅡ,ᆼ
예선,ᄋ,ᅨ,ᄉ,ᅥ,ᆫ
예술,ᄋ,ᅨ,ᄉ,ᅮ,ᆯ
예습,ᄋ,ᅨ,ᄉ,ᅳ,ᆸ
예약,ᄋ,ᅨ,ᄋ,ᅣ,ᆨ
예전,ᄋ,ᅨ,ᄌ,ᅥ,ᆫ
예절,ᄋ,ᅨ,ᄌ,ᅥ,ᆯ
예정,ᄋ,ᅨ,ᄌ,ᅥ,ᆼ
오늘,ᄋ,ᅩ,ᄂ,ᅳ,ᆯ
오락,ᄋ,ᅩ,ᄅ,ᅡ,ᆨ
오븐,ᄋ,ᅩ,ᄇ,ᅳ,ᆫ
오염,ᄋ,ᅩ,ᄋ,ᅧ,ᆷ
오월,ᄋ,ᅩ,ᄋ,ᅯ,ᆯ
오전,ᄋ,ᅩ,ᄌ,ᅥ,ᆫ
온도,ᄋ,ᅩ,ᆫ,ᄃ,ᅩ
올해,ᄋ,ᅩ,ᆯ,ᄒ,ᅢ
와인,ᄋ,ᅪ,ᄋ,ᅵ,ᆫ
왕비,ᄋ,ᅪ,ᆼ,ᄇ,ᅵ
왕자,ᄋ,ᅪ,ᆼ,ᄌ,ᅡ
외국,ᄋ,ᅬ,ᄀ,ᅮ,ᆨ
외출,ᄋ,ᅬ,ᄎ,ᅮ,ᆯ
외침,ᄋ,ᅬ,ᄎ,ᅵ,ᆷ
요금,ᄋ,ᅭ,ᄀ,ᅳ,ᆷ
요일,ᄋ,ᅭ,ᄋ,ᅵ,ᆯ
요즘,ᄋ,ᅭ,ᄌ,ᅳ,ᆷ
요청,ᄋ,ᅭ,ᄎ,ᅥ,ᆼ
용기,ᄋ,ᅭ,ᆼ,ᄀ,ᅵ
용기,ᄋ,ᅭ,ᆼ,ᄀ,ᅵ
용도,ᄋ,ᅭ,ᆼ,ᄃ,ᅩ
용서,ᄋ,ᅭ,ᆼ,ᄉ,ᅥ
용어,ᄋ,ᅭ,ᆼ,ᄋ,ᅥ
우산,ᄋ,ᅮ,ᄉ,ᅡ,ᆫ
우승,ᄋ,ᅮ,ᄉ,ᅳ,ᆼ
우정,ᄋ,ᅮ,ᄌ,ᅥ,ᆼ
우편,ᄋ,ᅮ,ᄑ,ᅧ,ᆫ
원고,ᄋ,ᅯ,ᆫ,ᄀ,ᅩ
원래,ᄋ,ᅯ,ᆫ,ᄅ,ᅢ
원서,ᄋ,ᅯ,ᆫ,ᄉ,ᅥ
월세,ᄋ,ᅯ,ᆯ,ᄉ,ᅦ
위반,ᄋ,ᅱ,ᄇ,ᅡ,ᆫ
위법,ᄋ,ᅱ,ᄇ,ᅥ,ᆸ
위성,ᄋ,ᅱ,ᄉ,ᅥ,ᆼ
위원,ᄋ,ᅱ,ᄋ,ᅯ,ᆫ
위쪽,ᄋ,ᅱ,ᄍ,ᅩ,ᆨ
위층,ᄋ,ᅱ,ᄎ,ᅳ,ᆼ
위험,ᄋ,ᅱ,ᄒ,ᅥ,ᆷ
위협,ᄋ,ᅱ,ᄒ,ᅧ,ᆸ
유명,ᄋ,ᅲ,ᄆ,ᅧ,ᆼ
유물,ᄋ,ᅲ,ᄆ,ᅮ,ᆯ
유산,ᄋ,ᅲ,ᄉ,ᅡ,ᆫ
유월,ᄋ,ᅲ,ᄋ,ᅯ,ᆯ
유적,ᄋ,ᅲ,ᄌ,ᅥ,ᆨ
유학,ᄋ,ᅲ,ᄒ,ᅡ,ᆨ
유학,ᄋ,ᅲ,ᄒ,ᅡ,ᆨ
유행,ᄋ,ᅲ,ᄒ,ᅢ,ᆼ
유형,ᄋ,ᅲ,ᄒ,ᅧ,ᆼ
육체,ᄋ,ᅲ,ᆨ,ᄎ,ᅦ
음료,ᄋ,ᅳ,ᆷ,ᄅ,ᅭ
음주,ᄋ,ᅳ,ᆷ,ᄌ,ᅮ
의견,ᄋ,ᅴ,ᄀ,ᅧ,ᆫ
의논,ᄋ,ᅴ,ᄂ,ᅩ,ᆫ
의문,ᄋ,ᅴ,ᄆ,ᅮ,ᆫ
의복,ᄋ,ᅴ,ᄇ,ᅩ,ᆨ
의식,ᄋ,ᅴ,ᄉ,ᅵ,ᆨ
의식,ᄋ,ᅴ,ᄉ,ᅵ,ᆨ
의심,ᄋ,ᅴ,ᄉ,ᅵ,ᆷ
의욕,ᄋ,ᅴ,ᄋ,ᅭ,ᆨ
의원,ᄋ,ᅴ,ᄋ,ᅯ,ᆫ
의학,ᄋ,ᅴ,ᄒ,ᅡ,ᆨ
이날,ᄋ,ᅵ,ᄂ,ᅡ,ᆯ
이념,ᄋ,ᅵ,ᄂ,ᅧ,ᆷ
이달,ᄋ,ᅵ,ᄃ,ᅡ,ᆯ
이동,ᄋ,ᅵ,ᄃ,ᅩ,ᆼ
이름,ᄋ,ᅵ,ᄅ,ᅳ,ᆷ
